607534.977005	1845316.90344	-4509
606481.565637	1846993.31117	-4466.799805
605439.031231	1848658.75362	-4317.5
604385.93987	1850335.25172	-4149.5
603343.723126	1852000.78387	-3990
602290.952532	1853677.37287	-3747
601249.054203	1855342.99523	-3278.899902
600196.605135	1857019.67563	-3316.399902
599155.025976	1858685.38871	-3546.300049
598102.899194	1860362.16103	-3799.5
597061.639958	1862027.96533	-4337.299805
595988.42813	1863726.85989	-4630.100098
594926.037063	1865425.85113	-4777.5
593853.160679	1867124.84251	-4856.399902
592791.152593	1868812.86638	-4783.100098
591729.261968	1870512.00172	-5116.5
590656.889283	1872211.13911	-5202
589595.333918	1873910.37135	-5333.5
588533.946038	1875609.65199	-5377.600098
587462.125689	1877297.87315	-5422.799805
586401.073746	1878997.2515	-5496
585340.189882	1880696.67864	-5592.799805
584268.830489	1882396.11165	-5618.100098
583208.328515	1884084.57389	-5620
582147.950454	1885784.14874	-5678.299805
581077.100133	1887483.73137	-5711.100098
580017.060914	1889183.40551	-5703.600098
578957.190968	1890883.12925	-5732.799805
577886.893652	1892571.79932	-5705.5
576827.363217	1894271.62316	-5744
575768.002651	1895971.49699	-5744
574698.176384	1897671.38246	-5753.399902
573639.15705	1899371.35718	-5755.299805
572569.713162	1901060.28147	-5755.299805
571511.035327	1902760.35761	-5769.399902
570452.528356	1904460.4844	-5780.600098
569383.561162	1906160.62608	-5785.399902
568325.434232	1907849.79172	-5787.299805
567267.441413	1909550.07177	-5812.600098
566198.991661	1911250.36866	-5794.799805
565141.343263	1912950.7517	-5785.399902
564052.194407	1914584.70623	-5792.899902
562878.44713	1916141.01034	-5780.600098
561715.501602	1917697.41047	-5676.399902
560542.106829	1919253.84195	-5628.5
559368.888983	1920810.33763	-5689.5
558195.848237	1922366.89765	-5608.799805
557022.984766	1923923.52216	-5608.799805
555850.298742	1925480.21131	-5559.899902
554677.790341	1927036.96523	-5503.5
553505.459735	1928593.78408	-5426.5
552333.307099	1930150.668	-5327.899902
551161.332607	1931707.61714	-5375.799805
550000.153297	1933264.65786	-5327.899902
548828.534783	1934821.73728	-5298.799805
547603.992873	1936389.82061	-5291.299805
546379.614018	1937969.03918	-5337.299805
545166.063382	1939537.29023	-5344.799805
543942.087227	1941105.58912	-5293.100098
542718.276619	1942685.02375	-5302.5
541505.290308	1944253.48945	-5202
540281.859383	1945833.06869	-5186
539058.640837	1947401.65745	-5120.299805
537835.612032	1948970.31922	-4881.799805
536623.360562	1950550.1369	-4451.799805
535400.711603	1952118.94456	-4650.799805
534188.858857	1953687.84382	-4595.399902
532966.571581	1955267.86137	-4434.899902
531744.493852	1956836.88936	-4326.899902
530522.606959	1958405.99132	-4089.5
529311.497379	1959986.24638	-4289.399902
